JPT_NAZWA_,JPT_KOD_JE,longitude,latitude,mean_longitude,mean_latitude
powiat iławski,2807,536184.4706439584,643441.297551948,532431.6016946726,645833.8302171142
powiat tarnogórski,2413,487525.4533715742,290831.7212882143,491447.40859057754,289559.05200951267
powiat Gorzów Wielkopolski,0861,244843.35490464242,547345.1453907732,244799.58576052988,547312.00568954
powiat białostocki,2002,783549.1621713117,589938.201226933,804596.426439682,591014.4419018631
powiat stargardzki,3214,248465.0291294131,616326.4629114992,246525.4605025914,611947.9844890242
powiat grójecki,1406,627621.3705771342,437398.50903320976,621727.324328513,433684.4197854637
powiat kolneński,2006,697532.5252247852,619140.613143539,695982.1755536246,618457.8280990426
powiat myśliborski,3210,222954.25432660469,564061.3475731628,215342.81141077104,562373.1713608378
powiat krotoszyński,3012,391679.3918841142,431959.800769409,392362.39273615566,431597.04267587466
powiat konecki,2605,593558.8253637886,364191.3569961945,594636.7040116773,365792.04615750443
powiat krośnieński,1807,699742.5954539105,193893.23476129133,699874.8719561375,195717.2443385087
powiat Sosnowiec,2475,513737.4620299764,267684.2146781813,515299.3101978254,267135.2071184879
powiat łukowski,0611,722532.5041207026,450272.93697810033,715442.1669287423,448485.06247776
powiat poddębicki,1011,493385.64633536217,447209.0068290658,497519.2641085187,448010.14030357264
powiat braniewski,2802,563313.3722266762,715499.4756343074,562994.7860862755,712872.2718063323
powiat garwoliński,1403,682419.714228308,443237.86006397114,682083.7676514918,443382.6556581515
powiat nidzicki,2811,598043.6597217559,612053.4169925979,599295.8836430915,612903.6987455082
powiat Kielce,2661,613198.9279487683,333906.49419273535,613621.5713840416,333206.64638839243
powiat siedlecki,1426,726754.3497239578,483845.1693179314,736284.309601977,485596.9468781678
powiat lubartowski,0608,746945.9616670047,411340.23283077107,743821.797772299,413514.4067150606
powiat ÅŁomża,2062,704337.3860021756,594264.1006507828,703991.777436509,595140.9713546168
powiat włoszczowski,2613,567868.2217295849,329455.41162820155,568514.7560904869,329857.4582194765
powiat wieluński,1017,473709.6167612417,374007.74108603015,470791.80146737304,374029.3744062977
powiat Ostrołęka,1461,673741.5124648815,582782.9285734142,672421.8296812952,582342.8212156836
powiat strzyżowski,1819,697983.588249681,226198.42700707706,696027.9346254736,226976.84937252337
powiat czarnkowsko-trzcianecki,3002,323039.7007309411,563992.0443754368,323702.38964856183,565405.8563807351
powiat tatrzański,1217,571455.4826488078,159415.01600449867,570123.2679316623,160114.99994792882
powiat wielicki,1219,585576.0198337655,235304.30491620954,584171.8879915199,235751.04670080915
powiat sokołowski,1429,722855.6628453366,518992.54672763863,725343.3436373745,519161.13574536936
powiat hajnowski,2005,809164.8036908873,552314.58938349,813709.6877740866,547171.4410399878
powiat węgrowski,1433,696253.0328197913,514323.1389336558,700202.1017364154,514033.1748118149
powiat prudnicki,1610,407846.30052977096,278677.22864798683,404926.8582439547,283169.11787527427
powiat ostrowski,1416,702934.0876996275,550545.5914941703,700506.1551089738,552484.7652270044
powiat strzelecko-drezdenecki,0806,278685.6634926386,563140.4641048935,276334.98139448615,565403.6069721472
powiat mrągowski,2810,655685.3375080988,663557.0727850505,658081.3430494061,663272.9480988388
powiat bieszczadzki,1801,763279.4045553533,167470.81613489156,763632.3681020916,169938.8927427847
powiat Rzeszów,1863,714406.3255828607,243849.70585377255,715971.6909656693,242704.2002821057
powiat augustowski,2001,770376.8410125975,668884.402679283,772390.0103226558,666660.6303759133
powiat starachowicki,2611,647792.1388609476,354512.28615671326,650351.4071504549,356120.3579448336
powiat miński,1412,681835.8143472299,482914.58939031576,680401.9456638538,483422.18086074153
powiat jarosławski,1804,769548.9175751482,244432.10984242248,771847.8925763485,246274.47880213754
powiat Zabrze,2478,484828.04078484327,272074.160951402,484452.40112128877,271917.443832417
powiat mikołowski,2408,487961.9807049889,252943.84846421322,487909.53141776443,253786.60564273503
powiat Świętochłowice,2476,493651.0281806609,270154.6945789413,493319.68738230935,270083.93182425573
powiat strzeliński,0217,365538.9490619954,324684.0371075636,364335.1749482993,323899.5392789026
powiat strzelecki,1611,451790.7770360368,297038.47891701484,448096.9947556148,296126.0925561539
powiat legnicki,0209,300613.6055953175,378118.1593734047,314529.85997490154,379139.86025216104
powiat żagański,0810,252101.3964423016,419420.415891337,259604.23232891748,420430.06335792644
powiat warszawski zachodni,1432,613090.3328203283,489996.59116628196,609732.2078437412,490575.1392299505
powiat olkuski,1212,545128.6761651221,272938.42669993726,546290.4726165723,272670.8095610053
powiat radomski,1425,652597.1672577524,391905.8970400242,652307.7452009269,387678.3501766827
powiat gdański,2204,473892.71869367495,706570.2091035359,473262.6528528156,706768.4515109644
powiat niżański,1812,732777.2958642357,294403.19377349113,731728.2894945716,293199.511442652
powiat Gdynia,2262,475236.8591893588,740602.5934921738,474375.85033512115,740059.2438695952
powiat bytowski,2201,390443.1587570208,698721.5699906116,392421.29841543396,700351.2735204375
powiat będziński,2401,511157.6945997738,282234.6346372034,508055.45388838125,283150.416499916
powiat pabianicki,1008,519355.3945267349,422822.93121969467,522187.6352183868,423482.8025184786
powiat gorlicki,1205,657101.5274708796,194693.02320848202,656506.4034046174,193825.44652699726
powiat Chełm,0662,813555.0649050336,372408.2217973776,814225.3522585144,372731.08690798143
powiat Skierniewice,1063,579398.518370205,455441.2303664812,578776.0379113326,455283.55358984414
powiat mławski,1413,591337.5240014727,577088.7224807428,588588.4348149982,577682.4836259224
powiat kolski,3009,484054.49544374715,485762.4196567149,487569.3904277591,486525.5255303751
powiat świdnicki,0617,768508.0790444568,370176.01418612775,766554.7267774338,369016.70571417455
powiat Przemyśl,1862,771812.4560190724,219425.50846723345,772693.8915940267,219657.5184526611
powiat włocławski,0418,502053.6111810987,517797.29782589327,502849.8489975465,521172.76260373555
powiat ostrowiecki,2607,668754.257052521,344416.34143205493,668860.7755436812,344471.32581684133
powiat wieruszowski,1018,450477.34297069075,382096.15067895147,448179.6968191616,381088.153010746
powiat bocheński,1201,602897.7560348455,232198.14946975673,602615.1244783372,233522.4229785218
powiat nowosądecki,1210,627892.6291121416,188861.48199818953,622736.5692560129,188691.1441585184
powiat Włocławek,0464,503870.9265078157,532804.6736858754,506493.2105220579,533331.2959675249
powiat chełmski,0603,814985.2182375488,372067.8930715876,796745.9941134828,371426.90674117627
powiat lubański,0210,239479.27387333795,363197.4550878136,239060.5053937985,359465.0592015851
powiat limanowski,1207,592705.821331768,202050.79697301672,593407.8510618997,202519.7404116178
