JPT_KOD_JE,JPT_NAZWA_,Dlugosc,Szerokosc
1007052,Paradyż,20.10008,51.30898
2610042,Skarżysko Kościelne,20.93298,51.13620
2604023,Bodzentyn,20.91800,50.95120
1423082,Wieniawa,20.78626,51.37000
1208022,Gołcza,19.91268,50.32952
612053,Opole Lubelskie,21.98457,51.11631
3011023,Czempiń,16.74671,52.14198
2210023,Nowy Dwór Gdański,19.16596,54.20016
2204052,Przywidz,18.32880,54.20429
2204042,Pruszcz Gdański,18.65878,54.26890
2263011,Słupsk,17.02200,54.46663
2211072,Puck,18.35195,54.70547
2605023,Gowarczów,20.44917,51.28141
2261011,Gdańsk,18.77440,54.41678
1608033,Olesno,18.46505,50.86916
1421033,Brwinów,20.72559,52.14767
2206032,Karsin,17.91518,53.92695
1813092,Stubno,22.98252,49.90087
1814053,Kańczuga,22.39875,49.95810
2012092,Wiżajny,22.85766,54.34129
3016032,Ryczywół,16.81876,52.79457
2601052,Solec-Zdrój,20.88621,50.37751
2604172,Nowiny,20.51937,50.82031
1403122,Trojanów,21.77825,51.69391
1216013,Ciężkowice,20.92948,49.77748
2613012,Kluczewsko,19.91716,50.95984
2404162,Starcza,19.05832,50.66726
1429042,Jabłonna Lacka,22.45041,52.48463
1432032,Kampinos,20.42006,52.27363
1609022,Dąbrowa,17.76391,50.70338
1438011,Żyrardów,20.44425,52.05705
604011,Hrubieszów,23.88724,50.80779
801032,Deszczno,15.29237,52.65471
461011,Bydgoszcz,18.05258,53.13129
603032,Chełm,23.44650,51.14243
208092,Lewin Kłodzki,16.30068,50.41213
1020073,Parzęczew,19.20839,51.94038
2403042,Brenna,18.90981,49.72613
419033,Janowiec Wielkopolski,17.52144,52.76535
1218042,Lanckorona,19.74108,49.85231
1426092,Skórzec,22.11334,52.10408
2002103,Suraż,23.00173,52.94126
2205052,Somonino,18.20799,54.25112
1012122,Radomsko,19.44806,51.04389
2611032,Mirzec,21.06277,51.12757
2814052,Gietrzwałd,20.24821,53.72998
2815042,Łukta,20.06226,53.79893
3005032,Kamieniec,16.48536,52.15080
2409042,Poraj,19.23398,50.65708
2411011,Racibórz,18.22547,50.08851
2813052,Świętajno,22.29466,54.01985
3202053,Pełczyce,15.33164,53.03863
2818012,Banie Mazurskie,22.05987,54.25984
1415042,Goworowo,21.53892,52.89503
2002063,Łapy,22.86686,53.00521
2410062,Suszec,18.82384,50.02458
2009032,Krasnopol,23.18970,54.11192
2010011,Siemiatycze,22.86671,52.42099
1010062,Moszczenica,19.68365,51.50489
1010093,Sulejów,19.82607,51.35018
1013023,Biała Rawska,20.47508,51.81762
1020043,Aleksandrów Łódzki,19.25076,51.82995
2601072,Tuczępy,21.00961,50.52187
2607032,Bodzechów,21.39972,50.93220
3024063,Pniewy,16.31403,52.54032
3261011,Koszalin,16.20299,54.20029
2804012,Elbląg,19.42327,54.15088
3009032,Chodów,19.02120,52.25652
3009082,Kościelec,18.56955,52.16652
2804082,Rychliki,19.50120,53.98181
3203023,Drawsko Pomorskie,15.83312,53.52722
605032,Dzwola,22.55018,50.66383
606072,Łopiennik Górny,23.06604,51.05070
608132,Uścimów,22.93973,51.47657
610062,Spiczyn,22.75503,51.35522
2611022,Brody,21.22756,51.04040
1206042,Jerzmanowice-Przeginia,19.72121,50.21229
1403112,Sobolew,21.69286,51.74805
2805042,Prostki,22.39067,53.70659
1434021,Marki,21.12106,52.33579
1415012,Baranowo,21.25413,53.18684
3003103,Witkowo,17.80215,52.44816
1213062,Oświęcim,19.23805,50.01651
2602012,Imielno,20.42824,50.58441
2606012,Baćkowice,21.22424,50.78414
3007072,Mycielin,18.23799,51.95776
3029012,Przemęt,16.27821,52.00206
