jpt_nazwa_,ID,Powiat_ID,Długość,Szerokość
powiat niżański,1812,p_1812,22.28,50.47
powiat przemyski,1813,p_1813,22.63,49.77
powiat przeworski,1814,p_1814,22.54,50.09
powiat ropczycko-sędziszowski,1815,p_1815,21.64,50.05
powiat rzeszowski,1816,p_1816,22.06,50.04
powiat sanocki,1817,p_1817,22.12,49.46
powiat stalowowolski,1818,p_1818,22.03,50.62
powiat strzyżowski,1819,p_1819,21.76,49.87
powiat tarnobrzeski,1820,p_1820,21.76,50.52
powiat leski,1821,p_1821,22.37,49.32
powiat Krosno,1861,p_1861,21.75,49.69
powiat Rzeszów,1863,p_1863,22.00,50.02
powiat Przemyśl,1862,p_1862,22.78,49.78
powiat Tarnobrzeg,1864,p_1864,21.71,50.58
powiat łosicki,1410,p_1410,22.84,52.22
powiat nowodworski,1414,p_1414,20.68,52.46
powiat ostrołęcki,1415,p_1415,21.50,53.16
powiat ostrowski,1416,p_1416,22.01,52.78
powiat otwocki,1417,p_1417,21.36,52.05
powiat piaseczyński,1418,p_1418,21.02,52.01
powiat płocki,1419,p_1419,19.84,52.55
powiat płoński,1420,p_1420,20.35,52.63
powiat pruszkowski,1421,p_1421,20.81,52.12
powiat przasnyski,1422,p_1422,20.91,53.14
powiat przysuski,1423,p_1423,20.63,51.42
powiat miński,1412,p_1412,21.66,52.18
powiat mławski,1413,p_1413,20.36,53.05
powiat pułtuski,1424,p_1424,21.04,52.68
powiat radomski,1425,p_1425,21.19,51.37
powiat siedlecki,1426,p_1426,22.32,52.17
powiat sierpecki,1427,p_1427,19.69,52.83
powiat sokołowski,1429,p_1429,22.28,52.49
powiat sochaczewski,1428,p_1428,20.21,52.27
powiat szydłowiecki,1430,p_1430,20.87,51.25
powiat warszawski zachodni,1432,p_1432,20.66,52.26
powiat węgrowski,1433,p_1433,21.89,52.46
powiat białobrzeski,1401,p_1401,20.95,51.62
powiat ciechanowski,1402,p_1402,20.61,52.86
powiat garwoliński,1403,p_1403,21.65,51.83
powiat gostyniński,1404,p_1404,19.57,52.38
powiat grodziski,1405,p_1405,20.59,52.08
powiat grójecki,1406,p_1406,20.85,51.79
powiat kozienicki,1407,p_1407,21.46,51.62
powiat zwoleński,1436,p_1436,21.60,51.35
powiat legionowski,1408,p_1408,20.96,52.45
powiat lipski,1409,p_1409,21.58,51.16
powiat wołomiński,1434,p_1434,21.37,52.40
powiat wyszkowski,1435,p_1435,21.47,52.65
powiat żuromiński,1437,p_1437,19.91,53.03
powiat bialski,601,p_0601,23.21,51.97
powiat biłgorajski,602,p_0602,22.79,50.51
powiat chełmski,603,p_0603,23.50,51.13
powiat hrubieszowski,604,p_0604,23.88,50.74
powiat janowski,605,p_0605,22.43,50.73
powiat krasnostawski,606,p_0606,23.10,50.96
powiat kraśnicki,607,p_0607,22.14,50.92
powiat lubartowski,608,p_0608,22.56,51.51
powiat lubelski,609,p_0609,22.49,51.14
powiat łęczyński,610,p_0610,22.97,51.31
powiat łukowski,611,p_0611,22.23,51.87
powiat opolski,612,p_0612,21.98,51.14
powiat parczewski,613,p_0613,23.00,51.62
powiat puławski,614,p_0614,22.06,51.41
powiat radzyński,615,p_0615,22.68,51.79
powiat rycki,616,p_0616,21.95,51.65
powiat świdnicki,617,p_0617,22.84,51.14
powiat tomaszowski,618,p_0618,23.55,50.47
powiat Biała Podlaska,661,p_0661,23.14,52.03
powiat włodawski,619,p_0619,23.41,51.50
powiat zamojski,620,p_0620,23.23,50.71
powiat Lublin,663,p_0663,22.56,51.23
powiat Chełm,662,p_0662,23.48,51.14
powiat Zamość,664,p_0664,23.26,50.72
powiat brzeski,1202,p_1202,20.65,49.98
powiat bocheński,1201,p_1201,20.43,49.95
powiat chrzanowski,1203,p_1203,19.44,50.11
powiat dąbrowski,1204,p_1204,21.01,50.23
powiat gorlicki,1205,p_1205,21.17,49.60
powiat krakowski,1206,p_1206,19.86,50.13
powiat limanowski,1207,p_1207,20.29,49.68
powiat miechowski,1208,p_1208,20.07,50.39
powiat myślenicki,1209,p_1209,19.97,49.81
powiat nowosądecki,1210,p_1210,20.77,49.55
powiat nowotarski,1211,p_1211,20.02,49.48
powiat olkuski,1212,p_1212,19.63,50.32
powiat oświęcimski,1213,p_1213,19.28,49.98
powiat proszowicki,1214,p_1214,20.34,50.20
powiat suski,1215,p_1215,19.65,49.69
powiat tarnowski,1216,p_1216,20.97,49.95
powiat tatrzański,1217,p_1217,19.98,49.30
powiat wadowicki,1218,p_1218,19.53,49.88
powiat Tarnów,1263,p_1263,20.97,50.02
powiat wielicki,1219,p_1219,20.19,49.98
powiat Kraków,1261,p_1261,19.99,50.05
powiat Nowy Sącz,1262,p_1262,20.70,49.61
powiat Piotrków Trybunalski,1062,p_1062,19.71,51.41
powiat Skierniewice,1063,p_1063,20.16,51.96
powiat bełchatowski,1001,p_1001,19.25,51.36
powiat kutnowski,1002,p_1002,19.39,52.24
powiat łaski,1003,p_1003,19.06,51.54
powiat łęczycki,1004,p_1004,19.18,52.09
powiat łowicki,1005,p_1005,19.87,52.11
powiat łódzki wschodni,1006,p_1006,19.66,51.68
powiat opoczyński,1007,p_1007,20.23,51.38
powiat pabianicki,1008,p_1008,19.28,51.67
powiat pajęczański,1009,p_1009,19.03,51.15
powiat piotrkowski,1010,p_1010,19.73,51.36
powiat poddębicki,1011,p_1011,18.90,51.89
powiat radomszczański,1012,p_1012,19.62,51.06
powiat rawski,1013,p_1013,20.40,51.76
powiat sieradzki,1014,p_1014,18.60,51.59
powiat skierniewicki,1015,p_1015,20.15,51.92
powiat tomaszowski,1016,p_1016,20.05,51.60
powiat wieluński,1017,p_1017,18.62,51.23
powiat zduńskowolski,1019,p_1019,18.94,51.64
powiat wieruszowski,1018,p_1018,18.29,51.30
powiat zgierski,1020,p_1020,19.43,51.92
powiat brzeziński,1021,p_1021,19.81,51.84
powiat Łódź,1061,p_1061,19.48,51.77
powiat żarski,811,p_0811,14.96,51.68
powiat wschowski,812,p_0812,16.15,51.83
powiat Zielona Góra,862,p_0862,15.51,51.94
powiat Gorzów Wielkopolski,861,p_0861,15.22,52.73
powiat gorzowski,801,p_0801,15.12,52.73
powiat krośnieński,802,p_0802,15.00,52.02
powiat międzyrzecki,803,p_0803,15.61,52.51
powiat nowosolski,804,p_0804,15.75,51.80
powiat słubicki,805,p_0805,14.77,52.36
powiat strzelecko-drezdenecki,806,p_0806,15.71,52.89
powiat sulęciński,807,p_0807,15.07,52.45
powiat świebodziński,808,p_0808,15.49,52.25
powiat zielonogórski,809,p_0809,15.54,51.98
powiat żagański,810,p_0810,15.42,51.59
powiat brzozowski,1802,p_1802,22.07,49.72
powiat bieszczadzki,1801,p_1801,22.62,49.32
powiat dębicki,1803,p_1803,21.35,50.01
powiat jarosławski,1804,p_1804,22.76,50.01
powiat kolbuszowski,1806,p_1806,21.80,50.30
powiat jasielski,1805,p_1805,21.47,49.65
powiat krośnieński,1807,p_1807,21.75,49.59
powiat leżajski,1808,p_1808,22.42,50.27
powiat lubaczowski,1809,p_1809,23.17,50.21
powiat łańcucki,1810,p_1810,22.26,50.09
powiat mielecki,1811,p_1811,21.39,50.29
powiat makowski,1411,p_1411,21.20,52.92
powiat brzeski,1601,p_1601,17.48,50.79
powiat chodzieski,3001,p_3001,16.99,52.96
powiat ostrzeszowski,3018,p_3018,18.02,51.45
powiat Radom,1463,p_1463,21.16,51.41
powiat żyrardowski,1438,p_1438,20.43,52.00
powiat Ostrołęka,1461,p_1461,21.59,53.08
powiat Warszawa,1465,p_1465,21.05,52.23
powiat nowotomyski,3015,p_3015,16.14,52.35
powiat obornicki,3016,p_3016,16.84,52.71
powiat nyski,1607,p_1607,17.35,50.48
powiat oleski,1608,p_1608,18.46,50.91
powiat leszczyński,3013,p_3013,16.57,51.87
powiat międzychodzki,3014,p_3014,16.03,52.60
powiat strzelecki,1611,p_1611,18.32,50.54
powiat Opole,1661,p_1661,17.94,50.66
powiat głubczycki,1602,p_1602,17.86,50.14
powiat krapkowicki,1605,p_1605,17.97,50.46
powiat pilski,3019,p_3019,16.96,53.16
powiat Siedlce,1464,p_1464,22.27,52.17
powiat namysłowski,1606,p_1606,17.76,51.03
powiat czarnkowsko-trzcianecki,3002,p_3002,16.37,52.91
powiat ostrowski,3017,p_3017,17.80,51.62
powiat opolski,1609,p_1609,17.90,50.72
powiat prudnicki,1610,p_1610,17.70,50.37
powiat kędzierzyńsko-kozielski,1603,p_1603,18.16,50.29
powiat kluczborski,1604,p_1604,18.17,51.00
powiat Płock,1462,p_1462,19.70,52.54
powiat sejneński,2009,p_2009,23.30,54.09
powiat złotowski,3031,p_3031,16.92,53.41
powiat krotoszyński,3012,p_3012,17.43,51.74
powiat wysokomazowiecki,2013,p_2013,22.57,52.88
powiat buski,2601,p_2601,20.86,50.44
powiat pleszewski,3020,p_3020,17.81,51.92
powiat średzki,3025,p_3025,17.32,52.18
powiat śremski,3026,p_3026,17.06,52.07
