TERYT Gmina,Nazwa Gminy,RODZAJ,Długość,Szerokość
3215011,Szczecinek,gmina,"347919,711291107","651297,637023068"
619072,Wola Uhruska,gmina,"820096,065470649","397383,964938374"
2214023,Gniew,gmina,"486110,54559846","659716,502054419"
2214032,Morzeszczyn,gmina,"478131,827043173","662816,314464724"
1406062,Jasieniec,gmina,"637306,190191554","439115,83021536"
1407053,Kozienice,gmina,"674058,966989539","417765,881397404"
1811052,Mielec,gmina,"674883,093532396","272564,121897872"
1811022,Borowa,gmina,"665317,417349607","282252,676194912"
1811062,Padew Narodowa,gmina,"677142,423279837","288653,86806651"
1213062,Oświęcim,gmina,"517050,03420442","238830,920216126"
1216053,Radłów,gmina,"630154,983330924","250430,338201821"
208041,Nowa Ruda,gmina,"324519,655066934","303383,974316977"
412011,Rypin,gmina,"528123,890620396","577644,434332494"
620043,Krasnobród,gmina,"797889,898812019","304939,646923717"
620022,Grabowiec,gmina,"819984,070291907","339261,550692979"
1413022,Dzierzgowo,gmina,"609551,529282507","590369,805766177"
1414011,Nowy Dwór Mazowiecki,gmina,"615550,550962483","509206,674067236"
1414022,Czosnów,gmina,"615550,60980784","501855,89747293"
1436042,Tczów,gmina,"671218,651457475","387762,521926314"
1408022,Jabłonna,gmina,"627334,927291976","504937,299839807"
1216092,Tarnów,gmina,"644027,41129317","238578,035893033"
209073,Prochowice,gmina,"317306,589324609","380460,153619765"
413032,Sośno,gmina,"410722,211415687","612008,071489975"
413023,Sępólno Krajeńskie,gmina,"402354,235841926","621851,210438564"
414042,Jeżewo,gmina,"466145,814004263","629428,368659701"
3261011,Koszalin,gmina,"317819,566795973","707801,996164437"
811043,Jasień,gmina,"227384,06664044","439931,952671809"
1434082,Poświętne,gmina,"664213,377077218","499127,816190943"
1814011,Przeworsk,gmina,"750416,464198044","248910,340851416"
1218072,Stryszów,gmina,"545176,642616544","218045,011143576"
1820013,Baranów Sandomierski,gmina,"683823,928325633","291221,010222873"
1820032,Grębów,gmina,"702264,908239474","301893,184577546"
1821042,Olszanica,gmina,"749444,984708322","185190,989009463"
2403052,Chybie,gmina,"487547,84820073","224898,046342019"
607032,Dzierzkowice,gmina,"715680,136939762","347335,048934496"
1010072,Ręczno,gmina,"560941,436039816","369669,108314337"
