"Teryt","Gmina ","ogółem
total","na 1 km²
per 1 km²"
"0201011","  Bolesławiec",37055,1622
"0201022","  Bolesławiec",15267,53
"0201032","  Gromadka",5003,19
"0201052","  Osiecznica",7284,17
"0201062","  Warta Bolesławiecka",8411,76
"0201043","  Nowogrodziec",14622,83
"0201044","     miasto   town",4102,255
"0201045","     obszar wiejski   rural area",10520,66
"0202011","  Bielawa",28027,774
"0202021","  Dzierżoniów",30614,1525
"0202041","  Piława Górna",5904,282
"0202052","  Dzierżoniów",9152,65
"0202062","  Łagiewniki",7118,57
"0202073","  Niemcza",5021,70
"0202074","     miasto   town",2683,135
"0202075","     obszar wiejski   rural area",2338,45
"0202033","  Pieszyce",8904,140
"0202034","     miasto   town",6765,382
"0202035","     obszar wiejski   rural area",2139,47
"0203011","  Głogów",62049,1767
"0203022","  Głogów",7207,85
"0203032","  Jerzmanowa",5879,93
"0203042","  Kotla",4411,35
"0203052","  Pęcław",2102,33
"0203062","  Żukowice",3395,50
"0204022","  Jemielno",2719,22
"0204032","  Niechlów",4513,30
"0204013","  Góra",18458,69
"0204014","     miasto   town",10700,784
"0204015","     obszar wiejski   rural area",7758,31
"0204043","  Wąsosz",6769,34
"0204044","     miasto   town",2551,785
"0204045","     obszar wiejski   rural area",4218,22
"0205011","  Jawor",20503,1091
"0205032","  Męcinka",5219,35
"0205042","  Mściwojów",3981,55
"0205052","  Paszowice",4199,42
"0205062","  Wądroże Wielkie",3724,42
"0205023","  Bolków",9587,63
"0205024","     miasto   town",4632,602
"0205025","     obszar wiejski   rural area",4955,34
"0207011","  Kamienna Góra",17110,948
"0207022","  Kamienna Góra",8838,56
"0207042","  Marciszów",4228,52
"0207033","  Lubawka",10143,73
"0207034","     miasto   town",5536,247
"0207035","     obszar wiejski   rural area",4607,40
"0206011","  Karpacz",4208,111
"0206021","  Kowary",9745,261
"0206031","  Piechowice",5743,133
"0206041","  Szklarska Poręba",5776,77
"0206052","  Janowice Wielkie",4045,70
"0206062","  Jeżów Sudecki",7898,84
